image,pidinet_contours,pidinet_largest_area,pidinet_box,sam_raw_contours,sam_contours,sam_largest_area,sam_box
1.png,2,15584.0,"(0, 12, 166, 109)",29,1,21285.0,"(0, 0, 166, 130)"
2.png,1,9154.5,"(0, 0, 144, 88)",35,1,12441.0,"(0, 0, 144, 88)"
3.png,1,10998.5,"(0, 0, 161, 97)",25,1,16480.0,"(0, 0, 161, 104)"
4.png,2,21293.0,"(0, 0, 209, 137)",31,1,29477.5,"(0, 0, 209, 149)"
5.png,1,5455.0,"(0, 0, 146, 91)",25,1,13775.0,"(0, 0, 146, 96)"
6.png,4,29104.5,"(0, 0, 249, 163)",30,1,33111.0,"(0, 0, 249, 163)"
7.png,1,11115.5,"(0, 6, 149, 94)",23,1,15358.5,"(0, 0, 149, 107)"
8.png,2,5443.5,"(0, 7, 140, 83)",26,1,12371.0,"(0, 0, 140, 90)"
9.png,1,6353.5,"(0, 4, 142, 85)",21,1,13113.0,"(0, 0, 142, 94)"
10.png,1,9903.5,"(0, 0, 148, 94)",31,1,13806.5,"(0, 0, 148, 97)"
